"Material","Formula","thickness1","price1","thickness2","price2","thickness3","price3","thickness4","price4","thickness5","price5","thickness6","price6","thickness7","price7","thickness8","price8","thickness9","price9","thickness10","price10","thickness11","price11","thickness12","price12","thickness13","price13","thickness14","price14","thickness15","price15","thickness16","price16","thickness17","price17","thickness18","price18","thickness19","price19","thickness20","price20","thickness21","price21","thickness22","price22","thickness23","price23","thickness24","price24","thickness25","price25","thickness26","price26","thickness27","price27","thickness28","price28","thickness29","price29","thickness30","price30","thickness31","price31","thickness32","price32","thickness33","price33","thickness34","price34","thickness35","price35","thickness36","price36","thickness37","price37","thickness38","price38","thickness39","price39","thickness40","price40","thickness41","price41","thickness42","price42","thickness43","price43","thickness44","price44","thickness45","price45","thickness46","price46","thickness47","price47","thickness48","price48"
"Europium","Eu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gadolinium","Gd",0.005,686,0.01,463,0.025,262,0.05,249,0.1,230,0.12,228,0.25,230,0.5,232,1,288,2,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallium","Ga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GalliumSelenide","GaSe",0.1,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Germanium","Ge",0.25,133,0.3,252,0.5,106,0.6,106,0.7,266,1,117,1.2,317,2,190,3,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold","Au",0.001,302,0.0015,270,0.002,261,0.0025,251,0.003,243,0.004,235,0.005,232,0.006,224,0.007,217,0.008,224,0.009,216,0.01,136,0.0125,114,0.015,206,0.02,190,0.025,108,0.05,125,0.1,243,0.125,232,0.2,188,0.25,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hafnium","Hf",0.003,447,0.004,363,0.005,328,0.006,311,0.007,305,0.008,280,0.009,259,0.01,232,0.0125,205,0.015,181,0.02,179,0.025,214,0.075,188,0.125,164,0.14,158,0.25,182,0.5,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holmium","Ho",0.005,632,0.0125,408,0.025,306,0.05,236,0.1,257,0.125,276,0.25,296,0.5,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indium","In",0.002,251,0.0025,242,0.003,232,0.004,208,0.005,208,0.006,199,0.007,198,0.008,191,0.009,190,0.01,183,0.0125,167,0.015,147,0.02,146,0.025,140,0.03,134,0.04,128,0.05,127,0.075,133,0.1,123,0.125,114,0.15,119,0.2,108,0.25,111,0.3,114,0.5,118,0.75,123,1,124,2,146,3,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iridium","Ir",0.05,165,0.025,775,0.03,754,0.1,707,0.125,683,0.15,655,0.25,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iron","Fe",0.0005,237,0.00075,229,0.001,220,0.002,211,0.0025,203,0.003,195,0.004,186,0.005,179,0.006,171,0.007,170,0.008,169,0.009,163,0.01,161,0.0125,149,0.015,142,0.02,154,0.025,79,0.038,60.5,0.05,59.5,0.075,63,0.1,65,0.125,60.5,0.15,63,0.2,63.5,0.25,61,0.38,63,0.5,58.5,0.82,85,0.9,60.5,1,60,1.5,59,1.63,63,1.83,59,2,132,3,89.5,3.1,157,5,203,,,,,,,,,,,,,,,,,,,,,,
"Lanthanum","La",0.025,221,0.1,240,0.125,244,0.5,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lead","Pb",0.001,248,0.002,238,0.0025,229,0.003,220,0.004,211,0.0045,204,0.005,202,0.006,193,0.007,192,0.008,185,0.009,178,0.01,177,0.0125,161,0.015,142,0.016,67.5,0.02,141,0.025,67,0.03,141,0.04,142,0.05,66.5,0.1,66,0.12,84.5,0.125,61.5,0.15,61.5,0.2,63,0.25,63,0.4,64,0.5,61,0.55,156,0.75,237,1,68.5,1,80,1.5,121,2,65.5,2.7,75.5,3,76.5,3.5,151,6,84,10,387,,,,,,,,,,,,,,,,,,
"Lithium","Li",0.12,317,0.2,289,0.5,376,0.6,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lutetium","Lu",0.025,504,0.1,366,0.125,392,0.15,388,0.25,368,1,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
