Energy (MeV),Efficiency
0.1,0.49773012
0.2,0.38062332
0.3,0.27496224
0.4,0.21373992
0.5,0.176778
0.6,0.15147432
0.7,0.13367508
0.8,0.12057888
0.9,0.10941744
1,0.10079244
1.1,0.0930672
1.2,0.08702004
1.3,0.0814614
1.4,0.07644096
1.5,0.07212984
1.6,0.06868812
1.7,0.06532644
1.8,0.06217452
1.9,0.05966568
2,0.05662968
2.1,0.05389176
2.2,0.05140776
2.3,0.0495834
