Material,Formula,Density-gcm-3,Meltingpoint-C
Molybdenum,Mo,10.22,2617
MolybdenumHighTemperatureAlloyTZM,Mo99/Ti0.5/Zr0.1,10.22,2500
Molybdenum/Titanium,Mo90/Ti10,-,2600
Monel®alloy400,Ni65/Cu33/Fe2,8.84,1300
Monel®alloyK-500,Ni63/Cu30/Al3/Fe2/Mn1.5/Ti0.5,8.4,2400
Neodymium,Nd,7.004,1021
Nickel,Ni,8.9,1453
NickelOxide,NiO,6.67,1984
NickelSilver,Cu62/Ni18/Zn20,8.72,1060
NickelSilver(18),Cu65/Ni18/Zn17,8.73,1070
Nickel/Beryllium/Titanium,Ni97.5/Be1.95/Ti0.5,8.14,1195
Nickel/Boron,Ni85/B15,-,1065
Nickel/Chromium,Ni80/Cr20,8.4,1400
Nickel/Copper,Ni70/Cu30,8.9,1300
Nickel/Iron,Ni52/Fe48,8.4,1450
Nickel/Manganese,Ni92/Mn8,-,1420
Nickel/Molybdenum,Ni84/Mo16,-,1445
Nickel/Silicon,Ni62/Si38,-,966
Nickel/Titanium,Ni90/Ti10,-,1340
Nickel/Zirconium,Ni70/Zr30,-,1450
Niobium,Nb,8.57,2468
Niobium/Titanium,Nb56/Ti44,-,2200
Niobium/Zirconium,Nb99/Zr1,8.59,2399
Nitinol,Ni55/Ti45,6.5,1310
OFHCCopper,Cu,8.9,1083
Osmium,Os,22.5,3045
Palladium,Pd,12,1554
Palladium/Silver,Pd75/Ag25,11.7,1250
Phosphorus,P,2.69,590
Platinum,Pt,21.45,1772
Platinum/Iridium,Pt70/Ir30,21.7,2153
Platinum/Rhodium,Pt60/Rh40,17,2226
Platinum/Tungsten,Pt92/W8,21.3,1870
Potassium,K,0.86,63.25
Mica,KAlSi3O8,2.9,1300
Praseodymium,Pr,6.782,931
Quartz-Fused,SiO2,2.2,1715
Rhenium,Re,21,3180
Rhodium,Rh,12.4,1965
RosesMetal,Bi50/Pb28/Sn22,9.85,95
Rubidium,Rb,1.532,38.89
Ruby,Al2O3/Cr2O3/Si2O3,3.98,2050
Ruthenium,Ru,12.2,2310
Samarium,Sm,7.536,1077
Sapphire,Al2O3,3.985,2050
Scandium,Sc,2.99,1541
Selenium,Se,4.81,220
SiliconCrystal,Si,2.329,1414
SiliconCarbide,SiC,3.2,2650
SiliconCarbide-Hot-pressed,SiC,3.15,2650
Silver,Ag,10.5,961.9
SilverChloride,AgCl,5.56,455
Silver/Copper,Ag72/Cu28,9.96,779
Silver/Palladium,Ag70/Pd30,10.9,1225
Sodium,Na,0.97,97.8
SodiumChloride,NaCl,2.16,801
StainlessSteel-17-4PH,Fe/Cr17/Ni4,7.82,1400
StainlessSteel-17-7PH,Fe/Cr17/Ni7,7.81,1435
StainlessSteel-AISI301,Fe/Cr17/Ni7/C0.1max,7.9,1400
StainlessSteel-AISI302,Fe/Cr18/Ni8,7.92,1400
StainlessSteel-AISI303,Fe/Cr18/Ni9/Mn/Si,8.03,1455
StainlessSteel-AISI310,Fe/Cr25/Ni20,7.9,1400
StainlessSteel-AISI321,Fe/Cr18/Ni9/Ti,7.9,1400
StainlessSteel-AISI347,Fe/Cr18/Ni10/Nb,7.93,1400
StainlessSteel-AISI410,Fe/Cr12.5,7.73,1480
StainlessSteel-Duplex,Fe/Cr22/Ni5.5/Mo3/N,7.8,1440
SterlingSilver,Ag92.5/Cu7.5,10.4,788
StrontiumTitanate,SrTiO3,5.11,2080
T1-ThermocoupleAlloy,Ni90/Cr10,8.5,1420
T2-ThermocoupleAlloy,Ni95/(Al+Mn+Si)5,8.5,1315
Tantalum,Ta,16.6,2996
TantalumCarbide,TaC,13.9,3880
Tantalum/Tungsten,Ta90/W10,16.9,3080
Tellurium,Te,6.24,449.5
Terbium,Tb,8.272,1356
Thorium,Th,11.72,1750
Thulium,Tm,9.322,1545
Tin,Sn,7.28,231.9
TinOxide,SnO,6.5,1080
Tin/Lead,Sn60/Pb40,-,188
Tin/Lead/Antimony,Sn60/Pb39/Sb1,8.42,183
Tin/Silver,Sn96/Ag4,7.39,221
Titanium,Ti,4.506,1668
TitaniumDiboride,TiB2,4.5,3000
Titanium/Aluminium,Ti88/Al12,-,1660
Titanium/Aluminium/Vanadium,Ti94.5/Al3/V2.5,4.45,1700
Titanium/Chromium,Ti80/Cr20,-,1560
Titanium/Iron,Ti50/Fe50,-,1310
Titanium/Molybdenum,Ti85/Mo15,-,1900
Titanium/Molybdenum/Niobium/Aluminium/Silicon,Ti78.8/Mo15/Nb3/Al3/Si0.2,4.93,815
Titanium/Silicon,Ti92/Si8,-,1330
Titanium/Vanadium,Ti90/V10,-,1680
Tungsten,W,19.3,3410
TungstenTrioxide,WO3,7.16,1473
Tungsten/Chromium,W90/Cr10,-,3100
Tungsten/Rhenium,W95/Re5,19.4,3350
Tungsten/Titanium,W95/Ti5,-,3300
Uranium,U,19.05,1132
Vanadium,V,6.1,1890
Vanadium/Chromium,V75/Cr25,-,1850
Waspaloy®-HeatResistingAlloy,Ni58/Cr19/Co14/Mo/Ti/Al/Fe,8.18,1340
Ytterbium,Yb,6.977,819
Yttrium,Y,4.478,1522
Zinc,Zn,7.14,419.5
ZincOxide,ZnO,5.61,1975
Zinc/Aluminium,Zn50/Al50,-,560
Zinc/Copper,Zn95/Cu5,-,500
Zinc/Nickel,Zn90/Ni10,-,800
ZincSulphide,ZnS,4.09,1185
Zirconia-stabilisedwithYttria,ZrO2/Y2O3,5.9,2700
Zirconia-unstabilised,ZrO2,6.1,2650
Zirconium,Zr,6.49,1852
ZirconiumCarbide,ZrC,6.73,3540
ZirconiumNitride,ZrN,7.09,2980
Zirconium/Aluminium,Zr90/Al10,-,1440
Zirconium/Nickel,Zr70/Ni30,-,1150
Zirconium/Vanadium,Zr56.5/V43.5,-,1390
